"Strain","Plasmid","Replicate","RBS","Promoter","Media","well","time","OD600","row","column"
"E.coli EW11","SKS46",3,"k0.75","P150","M9sa","H3",1142.382,0.1917,"H",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9sa","H4",1142.382,0.1148,"H",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9sa","H5",1142.382,0.1389,"H",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9sa","H6",1142.382,0.131,"H",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9sa","H7",1142.382,0.1468,"H",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9sa","H8",1142.382,0.2014,"H",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9sa","H9",1142.382,0.1797,"H",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9sa","H10",1142.382,0.1371,"H",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9sa","H11",1142.382,0.2456,"H",11
"","",NA,"","","","H12",1142.382,NA,"H",12
"","",NA,"","","","A1",1715.219,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",1715.219,0.18,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",1715.219,0.2995,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",1715.219,0.1636,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",1715.219,0.234,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",1715.219,0.468,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",1715.219,0.6888,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",1715.219,0.6017,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",1715.219,0.2539,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",1715.219,0.4023,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",1715.219,0.4552,"A",11
"","",NA,"","","","A12",1715.219,NA,"A",12
"","",NA,"","","","B1",1715.219,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",1715.219,0.2657,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",1715.219,0.2466,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",1715.219,0.1394,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",1715.219,0.3982,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",1715.219,0.3453,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",1715.219,0.2052,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",1715.219,0.5126,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",1715.219,0.4194,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",1715.219,0.3961,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",1715.219,0.412,"B",11
"","",NA,"","","","B12",1715.219,NA,"B",12
"","",NA,"","","","C1",1715.219,NA,"C",1
